"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_symbol"
"egfp",52.4041436643996,0.018359047470644,0.251160436075087,0.801391335102482,0.997992378041651,"eGFP"
"ENSMUSG00000000001",7973.14125619294,0.179368122165484,0.190587715918072,0.132721984570925,0.635973851965827,"Gnai3"
"ENSMUSG00000000028",425.362689855097,0.248249210135359,0.238088618482168,0.0381201063872829,0.403864008575351,"Cdc45"
"ENSMUSG00000000031",19.6745635974312,0.225073350026524,0.549847339259483,0.0316174454023862,0.376540479399834,"H19"
"ENSMUSG00000000037",163.22719078029,-0.111232941463335,0.198036438795215,0.331591046798665,0.827531889395263,"Scml2"
"ENSMUSG00000000049",8.32945607792804,0.026859186555905,0.231362278015075,0.761739076842257,0.997992378041651,"Apoh"
"ENSMUSG00000000056",1360.43210134936,0.0401116622193261,0.142197995287123,0.722471056883902,0.997992378041651,"Narf"
"ENSMUSG00000000058",5535.16511893079,0.609689290320232,0.47750831512932,0.00097587482115749,0.0504839562481193,"Cav2"
"ENSMUSG00000000078",10461.8417532276,0.0607740817993432,0.183742107782351,0.603518043359934,0.985890975719847,"Klf6"
"ENSMUSG00000000085",1225.9549105376,-0.149649270034,0.168072533607342,0.208611704022608,0.721339121381295,"Scmh1"
"ENSMUSG00000000088",3485.49730174047,0.155893881838739,0.190716810004554,0.18751195948901,0.700062101946893,"Cox5a"
"ENSMUSG00000000093",129.993611581466,-0.078969719845934,0.250214321448913,0.354686125949026,0.844040850873039,"Tbx2"
"ENSMUSG00000000094",0.251735231755148,0.000896895001204509,0.363114042010103,0.980906092190939,0.998960132581253,"Tbx4"
"ENSMUSG00000000120",139.819858014583,0.0202163037451777,0.292219999098258,0.720024697715977,0.997992378041651,"Ngfr"
"ENSMUSG00000000126",149.532712195381,-0.176926762748825,0.195361336285315,0.135585772113031,0.640749271032871,"Wnt9a"
"ENSMUSG00000000127",3530.16478156054,0.0447992524927113,0.137065342351437,0.686561847543696,0.997992378041651,"Fer"
"ENSMUSG00000000131",1767.88054555902,-0.049190352546581,0.192241241049576,0.667785032910124,0.997992378041651,"Xpo6"
"ENSMUSG00000000134",2654.71655932193,-0.0716166119369771,0.19920081427713,0.524458129869092,0.951707169018797,"Tfe3"
"ENSMUSG00000000142",20.6740611624006,-0.0348824249237486,0.224320248071722,0.713275230826718,0.997992378041651,"Axin2"
"ENSMUSG00000000148",660.429282080059,-0.185056102014129,0.195200068589784,0.119947774270971,0.616303512686984,"Brat1"
"ENSMUSG00000000149",3006.40119084945,-0.0850117297600271,0.183709341551585,0.469009564645982,0.922528038699664,"Gna12"
"ENSMUSG00000000154",43.1366975760707,-0.149551772029133,0.244830526399882,0.144610987565923,0.649280993643494,"Slc22a18"
"ENSMUSG00000000159",2.97347266215776,0.0507167283352662,0.36060503525473,0.329430275466172,0.82565627737615,"Igsf5"
"ENSMUSG00000000167",68.2435807412486,0.0284818850148013,0.204193943641144,0.793623816271646,0.997992378041651,"Pih1d2"
"ENSMUSG00000000168",2501.98587310763,-0.126958499392195,0.149923196635549,0.271802797949326,0.781069729106572,"Dlat"
"ENSMUSG00000000171",5226.19142351227,0.112513053502989,0.211140481036585,0.3044852248198,0.806865569633127,"Sdhd"
"ENSMUSG00000000182",5.61851911020633,-0.0813771982300773,0.369991156975177,0.198464785715652,0.713381065497646,"Fgf23"
"ENSMUSG00000000184",17302.9118605487,-0.239807221353041,0.182244540085175,0.0490931517718387,0.449728387453306,"Ccnd2"
"ENSMUSG00000000194",2140.56711833529,0.00167746150640757,0.174601769394796,0.98864625769419,0.99953315013931,"Gpr107"
"ENSMUSG00000000197",53.2704474476707,0.115462431983355,0.287287075371934,0.175091146451532,0.688521779954591,"Nalcn"
"ENSMUSG00000000204",0.458229996005627,-0.0130794918700193,0.367686228343009,0.730808277311892,0.997992378041651,"Slfn4"
"ENSMUSG00000000214",0.139578747673935,0.00600329712358017,0.364220787195526,0.873015156641179,0.997992378041651,"Th"
"ENSMUSG00000000223",80.1300520743956,-0.125175979683072,0.273589253271116,0.16573880617196,0.679064727615482,"Drp2"
"ENSMUSG00000000244",44.9790680611377,0.122663958713935,0.237404344911074,0.218463058221556,0.731856136669226,"Tspan32"
"ENSMUSG00000000247",0.37767240300862,0.0040757483545996,0.363209968686175,0.913653864748111,0.998398875236137,"Lhx2"
"ENSMUSG00000000248",0.215828315151238,-0.00721748122794169,0.364925867462247,0.847628857122601,0.997992378041651,"Clec2g"
"ENSMUSG00000000253",286.229144873774,0.0979696287950729,0.221920890121521,0.34086727252053,0.833681891247756,"Gmpr"
"ENSMUSG00000000263",0.720238925705825,0.018414425810552,0.338270993103884,0.682795247562893,0.997992378041651,"Glra1"
"ENSMUSG00000000266",965.66714038402,-0.042097232557393,0.192150739646347,0.713203814735432,0.997992378041651,"Mid2"
"ENSMUSG00000000275",2150.92308934322,0.13098677098586,0.163106345223099,0.268088258190426,0.778881004371216,"Trim25"
"ENSMUSG00000000276",343.748322323787,-0.0942897735863148,0.176992431269293,0.425617856606438,0.895893784294331,"Dgke"
"ENSMUSG00000000278",22987.3450839006,0.154386426658538,0.171196483829182,0.195634645390252,0.711024523216673,"Scpep1"
"ENSMUSG00000000282",2094.90308968089,-0.126855507291244,0.208682133007887,0.25627062457059,0.767785708809646,"Mnt"
"ENSMUSG00000000290",305.888739598042,-0.204323761561018,0.216731178259546,0.0807638113694779,0.538004682863078,"Itgb2"
"ENSMUSG00000000295",1342.82985378525,0.121762799210275,0.219296162824803,0.254821762201547,0.766777536191859,"Hddc2"
"ENSMUSG00000000296",266.660973946701,-0.174411757286895,0.27682757830631,0.087354891092095,0.554347795139384,"Tpd52l1"
"ENSMUSG00000000301",159.317254190467,0.0271653322305858,0.182578688472736,0.816286619199636,0.997992378041651,"Pemt"
"ENSMUSG00000000303",2.87157056497239,0.390330916596205,0.852568217487784,0.00902100226959203,0.207289832430376,"Cdh1"
"ENSMUSG00000000308",2.04617215079405,0.0117471167122684,0.286875847300735,0.835907450042148,0.997992378041651,"Ckmt1"
"ENSMUSG00000000317",0.991772993837961,-0.0187430312376435,0.335341254311107,0.682222853781504,0.997992378041651,"Bcl6b"
"ENSMUSG00000000318",0.457652852319986,-0.0180516395419573,0.373233602437027,0.637078374813287,0.997286596128341,"Clec10a"
"ENSMUSG00000000320",5.63327203604009,-0.14883065803478,0.301881733837991,0.107909861562196,0.595698821835068,"Alox12"
"ENSMUSG00000000325",638.085795587472,-0.126715524745824,0.206111446801696,0.260767047871155,0.772004173084045,"Arvcf"
"ENSMUSG00000000326",5441.04572629332,0.0472348122975615,0.140280404298127,0.673923725588752,0.997992378041651,"Comt"
"ENSMUSG00000000339",1719.753753234,0.0994484812447572,0.173185655915025,0.401606199567037,0.87734780034068,"Rtca"
"ENSMUSG00000000340",1185.23361144693,0.0585133542515852,0.176185825120047,0.619997300830182,0.991609117637611,"Dbt"
"ENSMUSG00000000346",8532.45112727846,-0.0515978651751214,0.138666097207301,0.643990410857233,0.997992378041651,"Dazap2"
"ENSMUSG00000000355",1987.42798705094,0.0958548108623978,0.214421136769459,0.368428479022137,0.855993087073259,"Mcts1"
"ENSMUSG00000000359",412.792590530803,0.365569367381877,0.30867735909526,0.00713691333980146,0.181875271376655,"Rem1"
"ENSMUSG00000000365",0.15679065886811,0.00860653812170508,0.365758860939735,0.81890422751737,0.997992378041651,"Rnf17"
"ENSMUSG00000000374",2123.37789699593,-0.226012026052367,0.201363912146976,0.0613923191318797,0.49056957882768,"Trappc10"
"ENSMUSG00000000378",1996.82613740291,-0.105299987099861,0.113812496712976,0.288643157574817,0.793314456521235,"Ccm2"
"ENSMUSG00000000384",788.035628501932,0.0291574531742204,0.170472409554793,0.804949115909615,0.997992378041651,"Tbrg4"
"ENSMUSG00000000385",0.177873804933835,0.00396844117109346,0.363801472151625,0.915656044199126,0.998398875236137,"Tmprss2"
"ENSMUSG00000000386",22.6169341904059,-0.0692103465128356,0.255647205365522,0.391064056652131,0.87050455158038,"Mx1"
"ENSMUSG00000000392",101.672287715887,0.109149067981644,0.389596881679402,0.130426586103236,0.632327478294615,"Fap"
"ENSMUSG00000000399",4155.22210415706,0.08883769320551,0.211641396535378,0.408349516539997,0.88321503426905,"Ndufa9"
"ENSMUSG00000000402",33.1825843846546,-0.247051833650876,0.476581299737729,0.0285887786794771,0.361779525109274,"Egfl6"
"ENSMUSG00000000409",12.0322434714935,0.254501829662773,0.346493112568896,0.0285010743712035,0.361022913655999,"Lck"
